name,ori_price,disc_price,disc,region,platforms,review,img,link
Sonic Frontiers (PC) Steam Key GLOBAL,"Rp 530.000,00","Rp 84.823,60",-84%,Global,Steam,5268,https://imgproxy.eneba.games/oWVdnb61URgCHVUWp2ecbxcF8X16cGIDRLztrIH_1l8/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9f/U1FlcDd2a1dqMGFj/d2hIYS1hLWtCcTlW/eVQtVDJ5aXdjS3Mt/cWhGY25FLmpwZw,/id-id/steam-sonic-frontiers-pc-steam-key-global
1 Random Steam key - YELLOW - Steam Key GLOBAL,"Rp 56.023,03",,,Global,Random Steam Key,672,https://imgproxy.eneba.games/0p5k00domasRHpmwOedTfUpYDzyZyUtc1oTYf40jr6I/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9B/d2ZPNEtuT1pJNUhE/OTJIdUNDdWtnTHVz/Q19COGFBV2dPdDZX/VmVvc2U4LmpwZw,/id-id/steam-1-random-steam-key-yellow-steam-key-global
HELLDIVERS 2 Steam Key (PC) GLOBAL,"Rp 579.000,00","Rp 484.480,81",-16%,Global,Steam,11986,https://imgproxy.eneba.games/xPe5TSQW7oUe1sSch2sRlzlHrK4NFhkWyYDVtUsN1uk/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9i/WFJVVWJsWEtSLUJs/WG5TSXNVVlItanJK/MWxuQ1NHQTlxZ2JM/aDVMMTBZLmpwZw,/id-id/steam-helldivers-2-pc-steam-key-global
Mortal Kombat XL Steam Key GLOBAL,"Rp 387.483,05","Rp 37.480,19",-90%,Global,Steam,15925,https://imgproxy.eneba.games/qmGE1RGUpYiVK2Nde4XsLk7d8p1p536PNR33msS2wLA/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9M/OG55dk5yLmpwZw,/id-id/steam-mortal-kombat-xl-steam-key-global
Injustice: Gods Among Us (Ultimate Edition) (PC) Steam Key GLOBAL,"Rp 135.999,00","Rp 12.624,91",-91%,Global,Steam,8602,https://imgproxy.eneba.games/TQ23T01rA-jt09ZuaFf8RbX7fcaoaX3HAxduMx1-PI8/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9h/YmVkbnRobzBzcnJ2/aWpwdHByYy5qcGc,/id-id/steam-injustice-gods-among-us-ultimate-edition-pc-steam-key-global
The Witcher 3: Wild Hunt GOTY GOG.com Key GLOBAL,"Rp 993.469,21","Rp 201.012,19",-80%,Global,GOG.com,4858,https://imgproxy.eneba.games/JJbQgttxLM5PJ1mkXwECcPMhDlQS8tEkDSs6e9PdajE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9o/cnZ1aXpMLmpwZw,/id-id/gog-the-witcher-3-wild-hunt-goty-gog-com-key-global
DAVE THE DIVER (PC) Steam Key GLOBAL,"Rp 165.999,00","Rp 139.268,51",-16%,Global,Steam,4620,https://imgproxy.eneba.games/WWP7yg5fG-7waq-TJIh_9rX3l4RCq5JXIPGgu_dDeuU/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9B/RnBwWG1HNkxqWVhL/WHN1dDJzbHJfV2ZN/NkM4bjV3WGtueDQ1/RWxXd1RnLmpwZw,/id-id/steam-dave-the-diver-pc-steam-key-global
Dragon Quest Builders 2 Steam Key GLOBAL,"Rp 650.000,00","Rp 416.424,67",-36%,Global,Steam,850,https://imgproxy.eneba.games/4bAhTfl_WbZk243uZxJpITcKrf4n2HBCOfP_S3NwfmE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9s/OHZDQVYxb05XMGY3/MU5RRkRkUGNJX1J6/RUZ5U2h2SUY0Zmpp/dFVqQnZvLmpwZWc,/id-id/steam-dragon-quest-builders-2-steam-key-global
I Am Fish (PC) Steam Key GLOBAL,"Rp 125.999,00","Rp 32.154,06",-74%,Global,Steam,2672,https://imgproxy.eneba.games/ZR8JlgOcG0gzprBOa3m2sGUSAyqjT4ftJYNUFROOC30/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9y/MWc3cXNISWdTTnFW/SXNmRjFKZ3Z4c1Vf/bzBFQzQyOGRXa3Rw/anJKRVZZLmpwZWc,/id-id/steam-i-am-fish-pc-steam-key-global
Knights of Honor II: Sovereign (PC) Steam Key GLOBAL,"Rp 399.000,00","Rp 40.439,16",-90%,Global,Steam,832,https://imgproxy.eneba.games/9O_IZu4tIYLYJnptZm3Rhpo4C26_Mr-MSUrLGQXcdwo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy96/RkJwUE5OdVRJTU5J/eWNVSm1mRzRacDV3/RVRwSjZabF8tWWJS/Zzg4N09JLmpwZw,/id-id/steam-knights-of-honor-ii-sovereign-pc-steam-key-global
Let's School (PC) Steam Key GLOBAL,"Rp 165.999,00","Rp 18.740,10",-89%,Global,Steam,645,https://imgproxy.eneba.games/0X3CBbol-qQz95R2iDoVEjTgPTn_W_tt4Kd-WMpPl9U/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9z/SzFYTjRndHFQU2x0/MndpU01ONnVCU29V/c2g3QVgxb0pobFNx/QmpSZHNNLnBuZw,/id-id/steam-lets-school-pc-steam-key-global
