name,ori_price,disc_price,disc,region,platforms,review,img,link
Metal Gear Solid V: The Definitive Experience Steam Key GLOBAL,"Rp 598.776,87","Rp 400.643,54",-33%,Global,Steam,2667,https://imgproxy.eneba.games/K0JK7Km3LawChBUbMRBVbExtjpd_WvmS3Gq_Z_wnHKo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9p/eWp3dWdmeW1meTNy/NXZ3b2R5bi5qcGc,/id-id/steam-metal-gear-solid-v-the-definitive-experience-steam-key-global-1
Paquerette Down the Bunburrows (PC) Steam Key GLOBAL,"Rp 106.999,00","Rp 20.318,21",-81%,Global,Steam,110,https://imgproxy.eneba.games/EdYehfFSxTIVybk9fsxAvEFRNcdJfAqYwSwdww4TUT8/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9X/b0RlQXBHdDJHYVhB/WWl1Ung4OWNudEdL/VE5icnc3ZktmX0ds/aUtYUW5RLnBuZw,/id-id/steam-paquerette-down-the-bunburrows-pc-steam-key-global
Hakuoki: Edo Blossoms Steam Key GLOBAL,"Rp 90.999,00","Rp 47.737,93",-48%,Global,Steam,484,https://imgproxy.eneba.games/d1VuKgg5isFRuI567BeQbVkr1rLFL6BRepBMEC0RRtM/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9H/LXF0RzA3N3RUOU00/RVdLRkJ0dU5SU1VT/ek5RMEFSR1dIRnZr/cnEzWms0LmpwZWc,/id-id/steam-hakuoki-edo-blossoms-steam-key-global
eden* Steam Key GLOBAL,"Rp 135.999,00","Rp 66.872,56",-51%,Global,Steam,160,https://imgproxy.eneba.games/zcApHcYBwjo8hMCzR4ThoKnJK058E3hLQea2A1n8mIE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9M/c0VPa00xdFNlVHRZ/LV9qUEVabHVBdHpx/T1ZKRXZxYkp0aERY/RDRxRDBvLmpwZWc,/id-id/steam-eden-steam-key-global
Taiji (PC) Steam Key GLOBAL,"Rp 206.999,00","Rp 14.601,05",-93%,Global,Steam,83,https://imgproxy.eneba.games/O_1xMfGo_SZmlBCgDBJ_qLSa187fewCHLYol-KdV6SU/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9h/UE5PVFBVOVdsYVFl/UXB2RzFKaHZlN1RO/blBwOGFoRTFUSzE1/ZFV3dTRjLmpwZw,/id-id/steam-taiji-pc-steam-key-global
Fallout 4 (GOTY) Steam Key GLOBAL,"Rp 1.190.375,40","Rp 168.660,87",-86%,Global,Steam,10599,https://imgproxy.eneba.games/nuaYwe0u_m7TDC5FepRfHDqFVe0TOwyqBS7V5Be6o_E/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy81/VzFEV2xRLmpwZw,/id-id/steam-fallout-4-goty-steam-key-global
Dark Souls: Remastered Steam Key GLOBAL,"Rp 420.000,00","Rp 297.868,90",-29%,Global,Steam,17567,https://imgproxy.eneba.games/CeAXef0eXCg2step4awFvjImC1YvUEntuD7s5rbh9ds/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9T/Vjd0V3k3LmpwZw,/id-id/steam-dark-souls-remastered-steam-key-global
Detroit: Become Human Steam Key GLOBAL,"Rp 399.000,00","Rp 107.508,98",-73%,Global,Steam,20322,https://imgproxy.eneba.games/sYgUATYg8nD3PE0MO62enTwC5DunLc64MffVfnM_8a4/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9P/SHdpZ0M5MWJBaGdU/dHJwb2dwLUtTT2Zq/OVhEREJwZnpyWjYz/RkNnWjFZLmpwZw,/id-id/steam-detroit-become-human-steam-key-global
Ghost of Tsushima DIRECTOR'S CUT (PC) Steam Key GLOBAL,"Rp 879.000,00","Rp 516.043,08",-41%,Global,Steam,13683,https://imgproxy.eneba.games/o9jrC0apRbh2JOX3lAZsytqJXgR_1qpCFaA59FYiFkE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9W/ZXBnOWpndGVXUV9S/UDhOVFB2dTZOZTRX/U3pnU0hBVUZZU29R/blI2NE1RLmpwZw,/id-id/steam-ghost-of-tsushima-directors-cut-pc-steam-key-global
Hunt: Showdown 1896 (PC) Steam Key GLOBAL,"Rp 255.000,00","Rp 115.794,07",-55%,Global,Steam,1573,https://imgproxy.eneba.games/gwGYBP8PtAAXxuiFzeBalSiYomS24gk9qGcAtGxWTcY/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9H/a3JUWDVJN2Q0dFVE/RDM3WFhhU0JCeHNI/TVFoa0hLX0cxcEFI/ZkVCbHRrLmpwZw,/id-id/steam-hunt-showdown-1896-pc-steam-key-global
Crusader Kings III Steam Key GLOBAL,"Rp 563.999,00","Rp 223.697,57",-60%,Global,Steam,3324,https://imgproxy.eneba.games/DWgHG9xzDlCLWSEyEGAZqiKkIdrPU83lGEsoXSFqQRw/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy80/anc3NHZpeEFnazM1/eUdoN05SQ0tNTllp/TGNUVnhNdkFwcmxL/V2VHcUQ0LmpwZWc,/id-id/steam-crusader-kings-iii-steam-key-global
LEGO: Marvel Super Heroes Steam Key GLOBAL,"Rp 135.999,00","Rp 27.222,46",-80%,Global,Steam,12914,https://imgproxy.eneba.games/oFyjFNlUY6kefLHfG-Ryt5Y6r4pGZghVD5iSwt7APG0/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9v/bXk4Z3JtemVsamMz/MmhmbWRqci5qcGc,/id-id/steam-lego-marvel-super-heroes-steam-key-global
PEAK Steam Key (PC) GLOBAL,"Rp 72.001,42",,,Global,Steam,1559,https://imgproxy.eneba.games/Ca-dIG29MNNLKBDqwf-UQfx5TbizG1yKZ4AooBpQfSk/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9R/RzNtVDRKNFlYZGtG/am9KZVA1M1NIcG4t/OVE1UlhMbXhFXzZI/YnVLRzNvLmpwZw,/id-id/steam-peak-steam-key-pc-global
Quarantine Zone: The Last Check Steam Key (PC) GLOBAL,"Rp 251.511,82",,,Global,Steam,991,https://imgproxy.eneba.games/J1MDhbfMnradaJbmsMDdjKobydKIL3fKt0KGSePSVDs/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy91/MEFZaFNGZDF0dnNa/d1FlRVc2amxRcnVp/X3JuUEZLbzFIMy05/SGQ1MjhjLmpwZw,/id-id/steam-quarantine-zone-the-last-check-steam-key-pc-global
1 Steam Key Random – GOTY – Steam Key GLOBAL,"Rp 54.247,65",,,Global,Random Steam Key,4930,https://imgproxy.eneba.games/i7LD3eGSTOhefMFPMGqFeivZk10SyGeNt3p5HZXx_WE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9E/dGp1VHVVTlhUbWcx/U2xtS0dlU0xwWnVH/YzB6RldWWWFTUHBL/RzhmeWd3LmpwZw,/id-id/steam-1-random-steam-key-goty-steam-key-global
Battlefield 4 : Premium Edition Origin Key GLOBAL,"Rp 775.159,93","Rp 62.335,48",-92%,Global,Origin,3225,https://imgproxy.eneba.games/-kq-VgsxKCxXRSgijeSXzGXLUDbjjLAmibLyjMcohok/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9I/eHNrT1Nsek45VEIy/ODN5OVVaYjgtaW1P/eHhSZ01HXzVPREIz/SGxuZHlRLmpwZWc,/id-id/origin-battlefield-4-premium-edition-origin-key-global
Batman: Arkham Asylum (GOTY) Steam Key GLOBAL,"Rp 387.483,05","Rp 35.113,02",-91%,Global,Steam,7458,https://imgproxy.eneba.games/X0na7NFGNjxHeodGfx1xyuBZduyKuogr4r8JL0-EeY4/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9Y/elJfNVdZelN4ckRV/V2JYS3djTVJSYXJB/ZEV2MjNiUzZISVZj/b0hLVlpBLmpwZw,/id-id/steam-batman-arkham-asylum-goty-steam-key-global
Forza Horizon 5 PC/XBOX LIVE Key GLOBAL,"Rp 1.356.675,26","Rp 517.029,40",-62%,Global,Xbox Live,9794,https://imgproxy.eneba.games/vgNClViQrBpYQSOmesgl3aQEo1kSOzhUu6fz_Vkplro/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9l/V1FjaHNBaXdVQ2No/djFqLVYtUnNqanZr/aUhlX2ptTmJySUJQ/MlFSUFg0LmpwZWc,/id-id/xbox-forza-horizon-5-pc-xbox-live-key-global
GTA V Premium Online Edition & Great White Shark Card Rockstar Games Launcher Key GLOBAL,"Rp 349.354,85",,,Global,Rockstar Games Launcher,11345,https://imgproxy.eneba.games/8t8CjodUP6tJbxN14jcI9sDmn_zyjtOTe_m-9Kj0B1Y/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9K/d0Yzd2IxR1pnV21p/OG1ScXFJNHg5V25B/RVFtekZlNDR1S3RO/a05hMkQwLmpwZWc,/id-id/steam-grand-theft-auto-v-premium-online-edition-great-white-shark-card-bundle-rockstar-social-club-key-global
Batman: Arkham Knight (Premium Edition) Steam Key GLOBAL,"Rp 32.154,06",,,Global,Steam,6913,https://imgproxy.eneba.games/zi2uCaiXovBYT58Bbhi80L9164-sV52GVbSyj-OysEo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9V/Q3VqejNVbzJfZmRi/WDBiSkdNU0RqUEZX/ZGtTMUFNak1pTnh1/RHhlREYwLmpwZw,/id-id/steam-batman-arkham-knight-premium-edition-steam-key-global
GTA IV: Complete Edition Rockstar Games Launcher Key GLOBAL,"Rp 400.727,23","Rp 125.854,54",-69%,Global,Rockstar Games Launcher,7794,https://imgproxy.eneba.games/ZZkdDq3tXkZ08BYoCgjDNGvJTEHL6d9DiWcFSOMfUGo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy8w/OHVSMjE1Sm1URl84/UmNNTmxEQThyVjND/RGI1eDhNUVdTMGdC/cTJDeVBnLmpwZw,/id-id/rockstar-social-club-grand-theft-auto-iv-complete-edition-rockstar-games-launcher-key-global
